SampleID,name,depth,coral.species,sampling.reef.name,status,substrate ,temperature,transplant.status,transplanted.from,transplanted.to,transplantation,visibility,visibility.rank,survivorship,keep
SRR12022489,SRR12022489,3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,30,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
SRR12022490,SRR12022490,3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,30,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022491,SRR12022491,3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,30,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022492,SRR12022492,3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,30,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022493,SRR12022493,3.3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,31,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022494,SRR12022494,3.3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,31,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022495,SRR12022495,3.3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,31,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
SRR12022496,SRR12022496,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022497,SRR12022497,3.3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,31,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
SRR12022498,SRR12022498,3.3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,31,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
SRR12022499,SRR12022499,3.3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,31,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022500,SRR12022500,3.3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,31,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
SRR12022501,SRR12022501,3.3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,31,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
SRR12022502,SRR12022502,3.3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,31,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
