SampleID,name,depth,coral.species,sampling.reef.name,status,substrate ,temperature,transplant.status,transplanted.from,transplanted.to,transplantation,visibility,visibility.rank,survivorship,keep
SRR12022556,SRR12022556,2.5,Orbicella annularis,Varadero,Varadero_mother_colony,rubble,30,mother_colony,Varadero_mother_colony,Varadero_mother_colony,,10,medium,,yes
SRR12022557,SRR12022557,3.5,Orbicella annularis,Varadero,Varadero_mother_colony,rubble,30,mother_colony,Varadero_mother_colony,Varadero_mother_colony,,10,medium,,yes
SRR12022563,SRR12022563,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022574,SRR12022574,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022584,SRR12022584,10.7,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022585,SRR12022585,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022586,SRR12022586,11.5,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022587,SRR12022587,11.5,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022588,SRR12022588,11.5,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022589,SRR12022589,11.5,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022590,SRR12022590,11.5,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022591,SRR12022591,11.5,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022592,SRR12022592,11.5,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022593,SRR12022593,11.5,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022594,SRR12022594,12.1,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022595,SRR12022595,12.1,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022596,SRR12022596,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,dead,yes
SRR12022597,SRR12022597,12.1,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022598,SRR12022598,12.1,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022599,SRR12022599,12.1,Orbicella faveolata,Rosario,Rosario_mother_colony,rubble,29,mother_colony,Rosario_mother_colony,Rosario_mother_colony,,30,high,,yes
SRR12022607,SRR12022607,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022615,SRR12022615,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022616,SRR12022616,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022617,SRR12022617,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022618,SRR12022618,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022619,SRR12022619,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022620,SRR12022620,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022621,SRR12022621,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022622,SRR12022622,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022623,SRR12022623,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022624,SRR12022624,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022625,SRR12022625,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022626,SRR12022626,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022627,SRR12022627,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022628,SRR12022628,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
SRR12022629,SRR12022629,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022630,SRR12022630,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022631,SRR12022631,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022632,SRR12022632,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022633,SRR12022633,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,alive,yes
SRR12022634,SRR12022634,12.5,Orbicella faveolata,Rosario,Rosario_pretransplantation,transplant_platform,30,pretransplantation,Rosario,pretransplantation,,35,high,dead,yes
